document_name,threshold,num_chunks,chunk_index,num_tokens
lulzbot_taz_workhorse_user_manual.pdf,90,105,28,67
lulzbot_taz_workhorse_user_manual.pdf,90,105,29,124
lulzbot_taz_workhorse_user_manual.pdf,90,105,30,455
lulzbot_taz_workhorse_user_manual.pdf,90,105,31,508
lulzbot_taz_workhorse_user_manual.pdf,90,105,32,306
lulzbot_taz_workhorse_user_manual.pdf,90,105,33,76
lulzbot_taz_workhorse_user_manual.pdf,90,105,34,220
lulzbot_taz_workhorse_user_manual.pdf,90,105,35,54
lulzbot_taz_workhorse_user_manual.pdf,90,105,36,390
lulzbot_taz_workhorse_user_manual.pdf,90,105,37,227
lulzbot_taz_workhorse_user_manual.pdf,90,105,38,587
lulzbot_taz_workhorse_user_manual.pdf,90,105,39,608
lulzbot_taz_workhorse_user_manual.pdf,90,105,40,288
lulzbot_taz_workhorse_user_manual.pdf,90,105,41,205
lulzbot_taz_workhorse_user_manual.pdf,90,105,42,121
lulzbot_taz_workhorse_user_manual.pdf,90,105,43,362
lulzbot_taz_workhorse_user_manual.pdf,90,105,44,188
lulzbot_taz_workhorse_user_manual.pdf,90,105,45,229
lulzbot_taz_workhorse_user_manual.pdf,90,105,46,357
lulzbot_taz_workhorse_user_manual.pdf,90,105,47,786
lulzbot_taz_workhorse_user_manual.pdf,90,105,48,73
lulzbot_taz_workhorse_user_manual.pdf,90,105,49,301
lulzbot_taz_workhorse_user_manual.pdf,90,105,50,706
lulzbot_taz_workhorse_user_manual.pdf,90,105,51,1491
lulzbot_taz_workhorse_user_manual.pdf,90,105,52,18
lulzbot_taz_workhorse_user_manual.pdf,90,105,53,701
lulzbot_taz_workhorse_user_manual.pdf,90,105,54,292
lulzbot_taz_workhorse_user_manual.pdf,90,105,55,968
lulzbot_taz_workhorse_user_manual.pdf,90,105,56,84
lulzbot_taz_workhorse_user_manual.pdf,90,105,57,40
lulzbot_taz_workhorse_user_manual.pdf,90,105,58,50
lulzbot_taz_workhorse_user_manual.pdf,90,105,59,501
lulzbot_taz_workhorse_user_manual.pdf,90,105,60,1500
lulzbot_taz_workhorse_user_manual.pdf,90,105,61,9
lulzbot_taz_workhorse_user_manual.pdf,90,105,62,318
lulzbot_taz_workhorse_user_manual.pdf,90,105,63,116
lulzbot_taz_workhorse_user_manual.pdf,90,105,64,60
lulzbot_taz_workhorse_user_manual.pdf,90,105,65,74
lulzbot_taz_workhorse_user_manual.pdf,90,105,66,173
lulzbot_taz_workhorse_user_manual.pdf,90,105,67,53
lulzbot_taz_workhorse_user_manual.pdf,90,105,68,320
lulzbot_taz_workhorse_user_manual.pdf,90,105,69,20
lulzbot_taz_workhorse_user_manual.pdf,90,105,70,68
lulzbot_taz_workhorse_user_manual.pdf,90,105,71,157
lulzbot_taz_workhorse_user_manual.pdf,90,105,72,12
lulzbot_taz_workhorse_user_manual.pdf,90,105,73,347
lulzbot_taz_workhorse_user_manual.pdf,90,105,74,361
lulzbot_taz_workhorse_user_manual.pdf,90,105,75,300
lulzbot_taz_workhorse_user_manual.pdf,90,105,76,78
lulzbot_taz_workhorse_user_manual.pdf,90,105,77,61
lulzbot_taz_workhorse_user_manual.pdf,90,105,78,20
lulzbot_taz_workhorse_user_manual.pdf,90,105,79,60
lulzbot_taz_workhorse_user_manual.pdf,90,105,80,41
lulzbot_taz_workhorse_user_manual.pdf,90,105,81,217
lulzbot_taz_workhorse_user_manual.pdf,90,105,82,63
lulzbot_taz_workhorse_user_manual.pdf,90,105,83,398
